,L1Bit,L1SeedName,PS,PS_rate,error,pure_rate,prop_rate
17,17.0,L1_SingleMu18,210.0,0.0,0.0,0.0,0.0
23,23.0,L1_SingleMu25,1.0,6683.53,926.84,0.0,2610.46
39,45.0,L1_DoubleMu9_SQ,1.0,642.65,287.4,0.0,108.3
43,49.0,L1_DoubleMu_15_7_SQ,1.0,514.12,257.06,0.0,42.25
52,59.0,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4,1.0,3084.71,629.66,0.0,734.67
55,62.0,L1_DoubleMu4p5_SQ_OS,800.0,0.0,0.0,0.0,0.0
56,63.0,L1_DoubleMu4p5_SQ_OS_dR_Max1p2,1.0,2185.0,529.94,0.0,657.4
66,77.0,L1_TripleMu_5_3p5_2p5,35.0,0.0,0.0,0.0,0.0
68,79.0,L1_TripleMu_5_3_3_SQ,1.0,899.71,340.06,0.0,157.81
69,80.0,L1_TripleMu_5_5_3,1.0,642.65,287.4,0.0,109.61
72,84.0,L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17,1.0,771.18,314.83,0.0,191.01
83,101.0,L1_Mu7_LooseIsoEG20er2p5,1.0,1670.88,463.42,0.0,417.15
84,102.0,L1_Mu7_LooseIsoEG23er2p5,1.0,1028.24,363.54,0.0,117.25
99,126.0,L1_Mu3_Jet120er2p5_dR_Max0p4,3.0,257.06,181.77,0.0,47.13
108,143.0,L1_DoubleMu3_dR_Max1p6_Jet90er2p5_dR_Max0p8,1.0,257.06,181.77,0.0,11.9
126,169.0,L1_SingleEG38er2p5,1.0,12981.47,1291.71,0.0,868.34
127,170.0,L1_SingleEG40er2p5,1.0,9768.24,1120.49,0.0,505.61
128,171.0,L1_SingleEG42er2p5,1.0,8997.06,1075.36,0.0,433.51
129,172.0,L1_SingleEG45er2p5,1.0,6555.0,917.88,0.0,253.53
136,179.0,L1_SingleLooseIsoEG28er2p1,1.0,22364.11,1695.42,0.0,2018.57
138,181.0,L1_SingleLooseIsoEG30er2p5,1.0,23777.89,1748.19,0.0,2209.37
147,190.0,L1_SingleIsoEG28er2p1,1.0,18893.79,1558.34,0.0,1194.54
148,191.0,L1_SingleIsoEG28er1p5,1.0,14009.68,1341.88,0.0,764.22
149,192.0,L1_SingleIsoEG30er2p5,1.0,20693.26,1630.85,0.0,1388.82
150,193.0,L1_SingleIsoEG30er2p1,1.0,17094.42,1482.27,0.0,897.38
151,194.0,L1_SingleIsoEG32er2p5,1.0,18508.21,1542.36,0.0,1076.86
152,195.0,L1_SingleIsoEG32er2p1,1.0,15552.11,1413.82,0.0,746.09
153,196.0,L1_SingleIsoEG34er2p5,1.0,16194.74,1442.74,0.0,884.2
161,209.0,L1_DoubleEG_25_14_er2p5,1.0,3984.41,715.62,0.0,629.26
162,210.0,L1_DoubleEG_27_14_er2p5,1.0,3084.71,629.66,0.0,330.43
166,215.0,L1_DoubleEG_LooseIso25_12_er2p5,1.0,4370.0,749.45,0.0,565.67
168,218.0,L1_DoubleLooseIsoEG24er2p1,1.0,128.53,128.53,0.0,3.67
172,227.0,L1_TripleEG_18_18_12_er2p5,1.0,0.0,0.0,0.0,0.0
176,236.0,L1_LooseIsoEG30er2p1_Jet34er2p5_dR_Min0p3,1.0,10539.37,1163.88,0.0,548.93
179,240.0,L1_LooseIsoEG28er2p1_HTT100er,1.0,12338.84,1259.33,0.0,648.39
180,241.0,L1_LooseIsoEG30er2p1_HTT100er,1.0,11182.11,1198.84,0.0,503.15
190,265.0,L1_SingleTau130er2p1,1.0,1927.94,497.79,0.0,57.41
195,272.0,L1_DoubleIsoTau34er2p1,1.0,12210.32,1252.75,0.0,3000.17
196,273.0,L1_DoubleIsoTau36er2p1,1.0,11182.11,1198.84,0.0,2543.89
220,314.0,L1_SingleJet200,1.0,2185.0,529.94,0.0,76.03
227,322.0,L1_SingleJet180er2p5,1.0,2442.06,560.25,0.0,123.21
277,405.0,L1_HTT400er,1.0,2442.06,560.25,0.0,122.29
278,406.0,L1_HTT450er,1.0,1670.88,463.42,0.0,54.57
285,422.0,L1_ETMHF110,1.0,3084.71,629.66,0.0,271.05
286,423.0,L1_ETMHF120,1.0,1799.41,480.91,0.0,70.62
287,424.0,L1_ETMHF130,1.0,1670.88,463.42,0.0,61.44
288,425.0,L1_ETMHF140,1.0,1413.82,426.28,0.0,47.98
289,426.0,L1_ETMHF150,1.0,1413.82,426.28,0.0,47.98
291,429.0,L1_ETMHF100_HTT60er,1.0,4241.47,738.35,0.0,432.78
292,430.0,L1_ETMHF110_HTT60er,1.0,2827.65,602.86,0.0,190.72
293,431.0,L1_ETMHF120_HTT60er,1.0,1670.88,463.42,0.0,54.55
294,432.0,L1_ETMHF130_HTT60er,1.0,1542.36,445.24,0.0,45.37
