,L1Bit,L1SeedName,PS,PS_rate,error,pure_rate,prop_rate
10,10.0,L1_SingleMu5,1700.0,257.06,181.77,128.53,192.79
11,11.0,L1_SingleMu7_DQ,0.0,0.0,0.0,0.0,0.0
12,12.0,L1_SingleMu7,200.0,899.71,340.06,771.18,835.44
16,16.0,L1_SingleMu15_DQ,1300.0,0.0,0.0,0.0,0.0
17,17.0,L1_SingleMu18,210.0,0.0,0.0,0.0,0.0
18,18.0,L1_SingleMu20,0.0,0.0,0.0,0.0,0.0
19,19.0,L1_SingleMu22,1.0,8482.95,1044.18,1028.24,3960.02
20,20.0,L1_SingleMu22_BMTF,0.0,0.0,0.0,0.0,0.0
21,21.0,L1_SingleMu22_OMTF,0.0,0.0,0.0,0.0,0.0
22,22.0,L1_SingleMu22_EMTF,0.0,0.0,0.0,0.0,0.0
23,23.0,L1_SingleMu25,1.0,6683.53,926.84,0.0,2610.46
25,26.0,L1_SingleMu7er1p5,0.0,0.0,0.0,0.0,0.0
26,27.0,L1_SingleMu8er1p5,0.0,0.0,0.0,0.0,0.0
27,28.0,L1_SingleMu9er1p5,0.0,0.0,0.0,0.0,0.0
28,29.0,L1_SingleMu10er1p5,0.0,0.0,0.0,0.0,0.0
29,30.0,L1_SingleMu12er1p5,0.0,0.0,0.0,0.0,0.0
30,31.0,L1_SingleMu14er1p5,0.0,0.0,0.0,0.0,0.0
31,32.0,L1_SingleMu16er1p5,0.0,0.0,0.0,0.0,0.0
32,33.0,L1_SingleMu18er1p5,0.0,0.0,0.0,0.0,0.0
34,40.0,L1_DoubleMu0,0.0,0.0,0.0,0.0,0.0
35,41.0,L1_DoubleMu0_SQ,1500.0,0.0,0.0,0.0,0.0
38,44.0,L1_DoubleMu8_SQ,1.0,1413.82,426.28,0.0,355.16
39,45.0,L1_DoubleMu9_SQ,1.0,642.65,287.4,0.0,108.3
42,48.0,L1_DoubleMu_15_7,1.0,642.65,287.4,0.0,85.09
43,49.0,L1_DoubleMu_15_7_SQ,1.0,514.12,257.06,0.0,42.25
48,55.0,L1_DoubleMu0er1p5_SQ,0.0,0.0,0.0,0.0,0.0
49,56.0,L1_DoubleMu0er1p5_SQ_OS,450.0,0.0,0.0,0.0,0.0
50,57.0,L1_DoubleMu0er1p5_SQ_dR_Max1p4,1.0,11310.63,1205.72,5398.23,7158.29
51,58.0,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4,1.0,4241.47,738.35,0.0,1227.37
52,59.0,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4,1.0,3084.71,629.66,0.0,734.67
53,60.0,L1_DoubleMu4_SQ_OS,700.0,0.0,0.0,0.0,0.0
55,62.0,L1_DoubleMu4p5_SQ_OS,800.0,0.0,0.0,0.0,0.0
56,63.0,L1_DoubleMu4p5_SQ_OS_dR_Max1p2,1.0,2185.0,529.94,0.0,657.4
57,64.0,L1_DoubleMu4p5er2p0_SQ_OS,80.0,0.0,0.0,0.0,0.0
59,66.0,L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18,1.0,1413.82,426.28,0.0,607.45
61,72.0,L1_TripleMu0,0.0,0.0,0.0,0.0,0.0
62,73.0,L1_TripleMu0_SQ,0.0,0.0,0.0,0.0,0.0
63,74.0,L1_TripleMu3,0.0,0.0,0.0,0.0,0.0
64,75.0,L1_TripleMu3_SQ,1.0,1542.36,445.24,514.12,736.19
66,77.0,L1_TripleMu_5_3p5_2p5,35.0,0.0,0.0,0.0,0.0
68,79.0,L1_TripleMu_5_3_3_SQ,1.0,899.71,340.06,0.0,157.81
69,80.0,L1_TripleMu_5_5_3,1.0,642.65,287.4,0.0,109.61
71,83.0,L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17,1.0,899.71,340.06,0.0,212.43
72,84.0,L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17,1.0,771.18,314.83,0.0,191.01
76,89.0,L1_QuadMu0,0.0,0.0,0.0,0.0,0.0
77,90.0,L1_QuadMu0_SQ,0.0,0.0,0.0,0.0,0.0
80,98.0,L1_Mu7_EG23er2p5,1.0,1156.77,385.59,0.0,135.61
83,101.0,L1_Mu7_LooseIsoEG20er2p5,1.0,1670.88,463.42,0.0,417.15
84,102.0,L1_Mu7_LooseIsoEG23er2p5,1.0,1028.24,363.54,0.0,117.25
90,110.0,L1_DoubleMu5_SQ_EG9er2p5,1.0,1028.24,363.54,0.0,226.12
99,126.0,L1_Mu3_Jet120er2p5_dR_Max0p4,3.0,257.06,181.77,0.0,47.13
108,143.0,L1_DoubleMu3_dR_Max1p6_Jet90er2p5_dR_Max0p8,1.0,257.06,181.77,0.0,11.9
117,160.0,L1_SingleEG10er2p5,7600.0,257.06,181.77,257.06,257.06
118,161.0,L1_SingleEG15er2p5,1350.0,257.06,181.77,257.06,257.06
119,162.0,L1_SingleEG26er2p5,780.0,0.0,0.0,0.0,0.0
121,164.0,L1_SingleEG28er2p5,0.0,0.0,0.0,0.0,0.0
122,165.0,L1_SingleEG28er2p1,0.0,0.0,0.0,0.0,0.0
123,166.0,L1_SingleEG28er1p5,0.0,0.0,0.0,0.0,0.0
124,167.0,L1_SingleEG34er2p5,0.0,0.0,0.0,0.0,0.0
125,168.0,L1_SingleEG36er2p5,1.0,15295.05,1402.09,128.53,1151.11
126,169.0,L1_SingleEG38er2p5,1.0,12981.47,1291.71,0.0,868.34
127,170.0,L1_SingleEG40er2p5,1.0,9768.24,1120.49,0.0,505.61
128,171.0,L1_SingleEG42er2p5,1.0,8997.06,1075.36,0.0,433.51
129,172.0,L1_SingleEG45er2p5,1.0,6555.0,917.88,0.0,253.53
131,174.0,L1_SingleEG60,1.0,3084.71,629.66,0.0,92.07
133,176.0,L1_SingleLooseIsoEG26er1p5,1.0,18379.68,1536.99,1799.41,3087.53
135,178.0,L1_SingleLooseIsoEG28er2p5,1.0,29818.84,1957.71,1156.77,4703.64
136,179.0,L1_SingleLooseIsoEG28er2p1,1.0,22364.11,1695.42,0.0,2018.57
137,180.0,L1_SingleLooseIsoEG28er1p5,0.0,0.0,0.0,0.0,0.0
138,181.0,L1_SingleLooseIsoEG30er2p5,1.0,23777.89,1748.19,0.0,2209.37
139,182.0,L1_SingleLooseIsoEG30er1p5,0.0,0.0,0.0,0.0,0.0
141,184.0,L1_SingleIsoEG24er1p5,0.0,0.0,0.0,0.0,0.0
143,186.0,L1_SingleIsoEG26er2p1,0.0,0.0,0.0,0.0,0.0
144,187.0,L1_SingleIsoEG26er1p5,0.0,0.0,0.0,0.0,0.0
146,189.0,L1_SingleIsoEG28er2p5,1.0,23263.79,1729.19,0.0,2071.56
147,190.0,L1_SingleIsoEG28er2p1,1.0,18893.79,1558.34,0.0,1194.54
148,191.0,L1_SingleIsoEG28er1p5,1.0,14009.68,1341.88,0.0,764.22
149,192.0,L1_SingleIsoEG30er2p5,1.0,20693.26,1630.85,0.0,1388.82
150,193.0,L1_SingleIsoEG30er2p1,1.0,17094.42,1482.27,0.0,897.38
151,194.0,L1_SingleIsoEG32er2p5,1.0,18508.21,1542.36,0.0,1076.86
152,195.0,L1_SingleIsoEG32er2p1,1.0,15552.11,1413.82,0.0,746.09
153,196.0,L1_SingleIsoEG34er2p5,1.0,16194.74,1442.74,0.0,884.2
158,206.0,L1_DoubleEG_20_10_er2p5,0.0,0.0,0.0,0.0,0.0
159,207.0,L1_DoubleEG_22_10_er2p5,0.0,0.0,0.0,0.0,0.0
160,208.0,L1_DoubleEG_25_12_er2p5,1.0,6040.88,881.15,514.12,1459.25
161,209.0,L1_DoubleEG_25_14_er2p5,1.0,3984.41,715.62,0.0,629.26
162,210.0,L1_DoubleEG_27_14_er2p5,1.0,3084.71,629.66,0.0,330.43
163,212.0,L1_DoubleEG_LooseIso20_10_er2p5,0.0,0.0,0.0,0.0,0.0
164,213.0,L1_DoubleEG_LooseIso22_10_er2p5,0.0,0.0,0.0,0.0,0.0
166,215.0,L1_DoubleEG_LooseIso25_12_er2p5,1.0,4370.0,749.45,0.0,565.67
168,218.0,L1_DoubleLooseIsoEG24er2p1,1.0,128.53,128.53,0.0,3.67
170,225.0,L1_TripleEG_16_15_8_er2p5,0.0,0.0,0.0,0.0,0.0
171,226.0,L1_TripleEG_18_17_8_er2p5,1.0,1028.24,363.54,257.06,457.67
172,227.0,L1_TripleEG_18_18_12_er2p5,1.0,0.0,0.0,0.0,0.0
175,235.0,L1_LooseIsoEG28er2p1_Jet34er2p5_dR_Min0p3,1.0,12595.89,1272.38,0.0,886.04
176,236.0,L1_LooseIsoEG30er2p1_Jet34er2p5_dR_Min0p3,1.0,10539.37,1163.88,0.0,548.93
178,239.0,L1_LooseIsoEG26er2p1_HTT100er,1.0,13367.05,1310.75,514.12,1307.11
179,240.0,L1_LooseIsoEG28er2p1_HTT100er,1.0,12338.84,1259.33,0.0,648.39
180,241.0,L1_LooseIsoEG30er2p1_HTT100er,1.0,11182.11,1198.84,0.0,503.15
190,265.0,L1_SingleTau130er2p1,1.0,1927.94,497.79,0.0,57.41
193,270.0,L1_DoubleIsoTau30er2p1,0.0,0.0,0.0,0.0,0.0
194,271.0,L1_DoubleIsoTau32er2p1,1.0,14523.79,1366.28,2056.47,5106.25
195,272.0,L1_DoubleIsoTau34er2p1,1.0,12210.32,1252.75,0.0,3000.17
196,273.0,L1_DoubleIsoTau36er2p1,1.0,11182.11,1198.84,0.0,2543.89
199,276.0,L1_DoubleIsoTau30er2p1_Mass_Max90,0.0,0.0,0.0,0.0,0.0
200,277.0,L1_DoubleIsoTau30er2p1_Mass_Max80,0.0,0.0,0.0,0.0,0.0
216,310.0,L1_SingleJet60,17000.0,0.0,0.0,0.0,0.0
217,311.0,L1_SingleJet90,1500.0,0.0,0.0,0.0,0.0
218,312.0,L1_SingleJet120,350.0,0.0,0.0,0.0,0.0
219,313.0,L1_SingleJet180,1.0,2699.12,589.0,0.0,146.42
220,314.0,L1_SingleJet200,1.0,2185.0,529.94,0.0,76.03
221,316.0,L1_SingleJet35er2p5,0.0,0.0,0.0,0.0,0.0
222,317.0,L1_SingleJet60er2p5,0.0,0.0,0.0,0.0,0.0
223,318.0,L1_SingleJet90er2p5,0.0,0.0,0.0,0.0,0.0
224,319.0,L1_SingleJet120er2p5,0.0,0.0,0.0,0.0,0.0
225,320.0,L1_SingleJet140er2p5,0.0,0.0,0.0,0.0,0.0
226,321.0,L1_SingleJet160er2p5,0.0,0.0,0.0,0.0,0.0
227,322.0,L1_SingleJet180er2p5,1.0,2442.06,560.25,0.0,123.21
229,325.0,L1_SingleJet60_FWD3p0,770.0,0.0,0.0,0.0,0.0
230,326.0,L1_SingleJet90_FWD3p0,250.0,0.0,0.0,0.0,0.0
231,327.0,L1_SingleJet120_FWD3p0,40.0,0.0,0.0,0.0,0.0
233,330.0,L1_SingleJet10erHE,0.0,0.0,0.0,0.0,0.0
