,L1Bit,L1SeedName,PS,PS_rate,error,pure_rate,prop_rate
4,4.0,L1_SingleMuOpen,63000.0,0.0,0.0,0.0,0.0
9,9.0,L1_SingleMu3,22000.0,0.0,0.0,0.0,0.0
10,10.0,L1_SingleMu5,1700.0,257.06,181.77,128.53,192.79
12,12.0,L1_SingleMu7,200.0,899.71,340.06,771.18,835.44
16,16.0,L1_SingleMu15_DQ,1300.0,0.0,0.0,0.0,0.0
19,19.0,L1_SingleMu22,1.0,8482.95,1044.18,1028.24,3960.02
35,41.0,L1_DoubleMu0_SQ,1500.0,0.0,0.0,0.0,0.0
38,44.0,L1_DoubleMu8_SQ,1.0,1413.82,426.28,0.0,355.16
41,47.0,L1_DoubleMu_15_5_SQ,1.0,899.71,340.06,128.53,235.04
42,48.0,L1_DoubleMu_15_7,1.0,642.65,287.4,0.0,85.09
45,51.0,L1_DoubleMu18er2p1,1.0,0.0,0.0,0.0,0.0
49,56.0,L1_DoubleMu0er1p5_SQ_OS,450.0,0.0,0.0,0.0,0.0
50,57.0,L1_DoubleMu0er1p5_SQ_dR_Max1p4,1.0,11310.63,1205.72,5398.23,7158.29
51,58.0,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4,1.0,4241.47,738.35,0.0,1227.37
53,60.0,L1_DoubleMu4_SQ_OS,700.0,0.0,0.0,0.0,0.0
54,61.0,L1_DoubleMu4_SQ_OS_dR_Max1p2,1.0,3855.88,703.98,899.71,1749.91
57,64.0,L1_DoubleMu4p5er2p0_SQ_OS,80.0,0.0,0.0,0.0,0.0
58,65.0,L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7,1.0,2056.47,514.12,385.59,1089.44
59,66.0,L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18,1.0,1413.82,426.28,0.0,607.45
64,75.0,L1_TripleMu3_SQ,1.0,1542.36,445.24,514.12,736.19
65,76.0,L1_TripleMu_5SQ_3SQ_0OQ,35.0,128.53,128.53,128.53,128.53
67,78.0,L1_TripleMu_5_3_3,1.0,1670.88,463.42,385.59,682.63
71,83.0,L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17,1.0,899.71,340.06,0.0,212.43
73,85.0,L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9,1.0,771.18,314.83,128.53,239.21
74,86.0,L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9,1.0,257.06,181.77,0.0,53.55
79,97.0,L1_Mu7_EG20er2p5,1.0,1799.41,480.91,0.0,435.51
80,98.0,L1_Mu7_EG23er2p5,1.0,1156.77,385.59,0.0,135.61
81,99.0,L1_Mu20_EG10er2p5,1.0,1285.29,406.45,128.53,424.62
86,105.0,L1_Mu6_DoubleEG12er2p5,1.0,1028.24,363.54,514.12,703.85
87,106.0,L1_Mu6_DoubleEG15er2p5,1.0,257.06,181.77,0.0,82.63
88,107.0,L1_Mu6_DoubleEG17er2p5,1.0,0.0,0.0,0.0,0.0
90,110.0,L1_DoubleMu5_SQ_EG9er2p5,1.0,1028.24,363.54,0.0,226.12
91,112.0,L1_DoubleMu3_OS_DoubleEG7p5Upsilon,1.0,385.59,222.62,128.53,176.13
92,113.0,L1_DoubleMu5Upsilon_OS_DoubleEG3,1.0,128.53,128.53,0.0,18.36
93,119.0,L1_Mu3_Jet30er2p5,11000.0,0.0,0.0,0.0,0.0
94,121.0,L1_Mu3_Jet16er2p5_dR_Max0p4,400.0,257.06,181.77,128.53,192.79
95,122.0,L1_Mu3_Jet35er2p5_dR_Max0p4,256.0,0.0,0.0,0.0,0.0
96,123.0,L1_Mu3_Jet60er2p5_dR_Max0p4,52.0,128.53,128.53,0.0,64.26
97,124.0,L1_Mu3_Jet80er2p5_dR_Max0p4,13.0,128.53,128.53,0.0,25.71
98,125.0,L1_Mu3_Jet120er2p5_dR_Max0p8,3.0,257.06,181.77,0.0,47.13
100,128.0,L1_Mu3er1p5_Jet100er2p5_ETMHF40,1.0,2313.53,545.3,128.53,641.54
101,129.0,L1_Mu3er1p5_Jet100er2p5_ETMHF50,1.0,1927.94,497.79,0.0,473.74
102,131.0,L1_Mu6_HTT240er,1.0,1542.36,445.24,128.53,288.25
103,132.0,L1_Mu6_HTT250er,1.0,1285.29,406.45,0.0,127.59
105,135.0,L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,1.0,2056.47,514.12,0.0,614.56
106,136.0,L1_Mu12er2p3_Jet40er2p1_dR_Max0p4_DoubleJet40er2p1_dEta_Max1p6,1.0,2056.47,514.12,0.0,614.56
107,142.0,L1_DoubleMu0_dR_Max1p6_Jet90er2p5_dR_Max0p8,1.0,257.06,181.77,0.0,11.9
110,146.0,L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5,1.0,642.65,287.4,385.59,395.15
111,147.0,L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5,1.0,257.06,181.77,0.0,9.56
112,148.0,L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5,1.0,257.06,181.77,0.0,9.56
113,150.0,L1_DoubleMu3_SQ_HTT220er,1.0,899.71,340.06,128.53,210.69
114,151.0,L1_DoubleMu3_SQ_HTT240er,1.0,642.65,287.4,0.0,79.02
115,152.0,L1_DoubleMu3_SQ_HTT260er,1.0,385.59,222.62,0.0,32.61
116,159.0,L1_SingleEG8er2p5,44000.0,0.0,0.0,0.0,0.0
117,160.0,L1_SingleEG10er2p5,7600.0,257.06,181.77,257.06,257.06
118,161.0,L1_SingleEG15er2p5,1350.0,257.06,181.77,257.06,257.06
119,162.0,L1_SingleEG26er2p5,780.0,0.0,0.0,0.0,0.0
120,163.0,L1_SingleEG28_FWD2p5,45.0,0.0,0.0,0.0,0.0
125,168.0,L1_SingleEG36er2p5,1.0,15295.05,1402.09,128.53,1151.11
131,174.0,L1_SingleEG60,1.0,3084.71,629.66,0.0,92.07
133,176.0,L1_SingleLooseIsoEG26er1p5,1.0,18379.68,1536.99,1799.41,3087.53
135,178.0,L1_SingleLooseIsoEG28er2p5,1.0,29818.84,1957.71,1156.77,4703.64
146,189.0,L1_SingleIsoEG28er2p5,1.0,23263.79,1729.19,0.0,2071.56
154,197.0,L1_IsoEG32er2p5_Mt40,1.0,14652.32,1372.32,0.0,787.91
155,198.0,L1_IsoEG32er2p5_Mt44,1.0,14009.68,1341.88,0.0,727.9
156,199.0,L1_IsoEG32er2p5_Mt48,1.0,12852.95,1285.29,0.0,652.22
160,208.0,L1_DoubleEG_25_12_er2p5,1.0,6040.88,881.15,514.12,1459.25
165,214.0,L1_DoubleEG_LooseIso22_12_er2p5,1.0,5269.71,822.99,642.65,1336.84
167,217.0,L1_DoubleLooseIsoEG22er2p1,1.0,128.53,128.53,0.0,3.67
171,226.0,L1_TripleEG_18_17_8_er2p5,1.0,1028.24,363.54,257.06,457.67
173,228.0,L1_TripleEG16er2p5,1.0,0.0,0.0,0.0,0.0
175,235.0,L1_LooseIsoEG28er2p1_Jet34er2p5_dR_Min0p3,1.0,12595.89,1272.38,0.0,886.04
178,239.0,L1_LooseIsoEG26er2p1_HTT100er,1.0,13367.05,1310.75,514.12,1307.11
183,249.0,L1_DoubleEG8er2p5_HTT300er,1.0,899.71,340.06,128.53,196.97
184,250.0,L1_DoubleEG8er2p5_HTT320er,1.0,771.18,314.83,0.0,68.44
185,251.0,L1_DoubleEG8er2p5_HTT340er,1.0,642.65,287.4,0.0,42.73
186,257.0,L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3,1.0,6297.95,899.71,1028.24,1727.89
187,258.0,L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3,1.0,5141.18,812.89,0.0,673.96
188,259.0,L1_LooseIsoEG22er2p1_Tau70er2p1_dR_Min0p3,1.0,514.12,257.06,0.0,26.95
189,264.0,L1_SingleTau120er2p1,1.0,2313.53,545.3,0.0,118.62
191,267.0,L1_DoubleTau70er2p1,1.0,1799.41,480.91,0.0,226.94
194,271.0,L1_DoubleIsoTau32er2p1,1.0,14523.79,1366.28,2056.47,5106.25
201,279.0,L1_Mu18er2p1_Tau24er2p1,1.0,4370.0,749.45,257.06,1399.55
202,280.0,L1_Mu18er2p1_Tau26er2p1,1.0,2056.47,514.12,0.0,500.92
205,284.0,L1_Mu22er2p1_IsoTau32er2p1,1.0,514.12,257.06,0.0,42.73
206,285.0,L1_Mu22er2p1_IsoTau34er2p1,1.0,385.59,222.62,0.0,29.88
207,286.0,L1_Mu22er2p1_IsoTau36er2p1,1.0,385.59,222.62,0.0,29.88
208,287.0,L1_Mu22er2p1_IsoTau40er2p1,1.0,385.59,222.62,0.0,29.88
209,289.0,L1_Mu22er2p1_Tau70er2p1,1.0,257.06,181.77,0.0,17.03
211,292.0,L1_IsoTau40er2p1_ETMHF90,1.0,5012.65,802.67,0.0,945.11
212,293.0,L1_IsoTau40er2p1_ETMHF100,1.0,3727.36,692.15,0.0,341.02
213,294.0,L1_IsoTau40er2p1_ETMHF110,1.0,2570.59,574.8,0.0,157.87
214,298.0,L1_QuadJet36er2p5_IsoTau52er2p1,190.0,0.0,0.0,0.0,0.0
215,309.0,L1_SingleJet35,64000.0,0.0,0.0,0.0,0.0
216,310.0,L1_SingleJet60,17000.0,0.0,0.0,0.0,0.0
217,311.0,L1_SingleJet90,1500.0,0.0,0.0,0.0,0.0
218,312.0,L1_SingleJet120,350.0,0.0,0.0,0.0,0.0
219,313.0,L1_SingleJet180,1.0,2699.12,589.0,0.0,146.42
228,324.0,L1_SingleJet35_FWD3p0,103000.0,0.0,0.0,0.0,0.0
229,325.0,L1_SingleJet60_FWD3p0,770.0,0.0,0.0,0.0,0.0
230,326.0,L1_SingleJet90_FWD3p0,250.0,0.0,0.0,0.0,0.0
231,327.0,L1_SingleJet120_FWD3p0,40.0,0.0,0.0,0.0,0.0
238,340.0,L1_DoubleJet40er2p5,8400.0,0.0,0.0,0.0,0.0
239,341.0,L1_DoubleJet100er2p5,170.0,0.0,0.0,0.0,0.0
240,342.0,L1_DoubleJet120er2p5,70.0,0.0,0.0,0.0,0.0
241,343.0,L1_DoubleJet150er2p5,1.0,385.59,222.62,0.0,21.69
243,346.0,L1_DoubleJet112er2p3_dEta_Max1p6,1.0,2313.53,545.3,514.12,771.28
247,351.0,L1_DoubleJet30er2p5_Mass_Min300_dEta_Max1p5,1.0,1413.82,426.28,0.0,203.81
248,352.0,L1_DoubleJet30er2p5_Mass_Min330_dEta_Max1p5,1.0,899.71,340.06,0.0,142.38
249,353.0,L1_DoubleJet30er2p5_Mass_Min360_dEta_Max1p5,1.0,385.59,222.62,0.0,7.43
252,357.0,L1_DoubleJet_110_35_DoubleJet35_Mass_Min620,1.0,4370.0,749.45,514.12,1274.97
253,358.0,L1_DoubleJet_115_40_DoubleJet40_Mass_Min620,1.0,2570.59,574.8,0.0,494.8
254,359.0,L1_DoubleJet_120_45_DoubleJet45_Mass_Min620,1.0,2056.47,514.12,0.0,323.43
255,360.0,L1_DoubleJet_115_40_DoubleJet40_Mass_Min620_Jet60TT28,1.0,2570.59,574.8,0.0,494.8
256,361.0,L1_DoubleJet_120_45_DoubleJet45_Mass_Min620_Jet60TT28,1.0,2056.47,514.12,0.0,323.43
261,372.0,L1_TripleJet_95_75_65_DoubleJet_75_65_er2p5,1.0,2185.0,529.94,128.53,526.33
262,373.0,L1_TripleJet_100_80_70_DoubleJet_80_70_er2p5,1.0,1156.77,385.59,0.0,235.54
263,374.0,L1_TripleJet_105_85_75_DoubleJet_85_75_er2p5,1.0,771.18,314.83,0.0,121.67
264,376.0,L1_QuadJet_95_75_65_20_DoubleJet_75_65_er2p5_Jet20_FWD3p0,1.0,642.65,287.4,0.0,146.97
267,385.0,L1_HTT320er_QuadJet_70_55_40_40_er2p4,1.0,1670.88,463.42,128.53,376.07
268,386.0,L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3,1.0,1413.82,426.28,0.0,237.66
269,387.0,L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3,1.0,1028.24,363.54,0.0,155.92
270,398.0,L1_HTT120er,11400.0,0.0,0.0,0.0,0.0
271,399.0,L1_HTT160er,4100.0,0.0,0.0,0.0,0.0
272,400.0,L1_HTT200er,1600.0,0.0,0.0,0.0,0.0
273,401.0,L1_HTT255er,500.0,0.0,0.0,0.0,0.0
276,404.0,L1_HTT360er,1.0,3855.88,703.98,128.53,497.4
281,412.0,L1_ETT2000,1.0,1028.24,363.54,0.0,20.18
283,417.0,L1_ETM150,1.0,1285.29,406.45,0.0,46.2
284,421.0,L1_ETMHF100,1.0,5141.18,812.89,514.12,1091.49
290,428.0,L1_ETMHF90_HTT60er,1.0,7326.18,970.38,1799.41,2836.28
298,459.0,L1_ZeroBias,17881.0,0.0,0.0,0.0,0.0
308,471.0,L1_IsolatedBunch,110.0,0.0,0.0,0.0,0.0
309,472.0,L1_FirstBunchBeforeTrain,269167.0,0.0,0.0,0.0,0.0
310,473.0,L1_FirstBunchInTrain,269167.0,0.0,0.0,0.0,0.0
314,477.0,L1_FirstBunchAfterTrain,269167.0,0.0,0.0,0.0,0.0
315,478.0,L1_LastCollisionInTrain,269167.0,0.0,0.0,0.0,0.0
316,479.0,L1_FirstCollisionInTrain,269167.0,0.0,0.0,0.0,0.0
317,480.0,L1_FirstCollisionInOrbit,1103.0,0.0,0.0,0.0,0.0
329,494.0,L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142,6.0,0.0,0.0,0.0,0.0
336,,,,,,,
337,,,,,,,
338,,,,,,,
339,9999.0,Total rate,1.0,95.88,3.51,24.29,95.88
