,L1Bit,L1SeedName,PS,PS_rate,error,pure_rate,prop_rate
0,0.0,L1_SingleMuCosmics,0.0,0.0,0.0,0.0,0.0
1,1.0,L1_SingleMuCosmics_BMTF,0.0,0.0,0.0,0.0,0.0
2,2.0,L1_SingleMuCosmics_OMTF,0.0,0.0,0.0,0.0,0.0
3,3.0,L1_SingleMuCosmics_EMTF,0.0,0.0,0.0,0.0,0.0
4,4.0,L1_SingleMuOpen,63000.0,0.0,0.0,0.0,0.0
5,5.0,L1_SingleMu0_DQ,0.0,0.0,0.0,0.0,0.0
6,6.0,L1_SingleMu0_BMTF,0.0,0.0,0.0,0.0,0.0
7,7.0,L1_SingleMu0_OMTF,0.0,0.0,0.0,0.0,0.0
8,8.0,L1_SingleMu0_EMTF,0.0,0.0,0.0,0.0,0.0
9,9.0,L1_SingleMu3,22000.0,0.0,0.0,0.0,0.0
13,13.0,L1_SingleMu12_DQ_BMTF,0.0,0.0,0.0,0.0,0.0
14,14.0,L1_SingleMu12_DQ_OMTF,0.0,0.0,0.0,0.0,0.0
15,15.0,L1_SingleMu12_DQ_EMTF,0.0,0.0,0.0,0.0,0.0
24,25.0,L1_SingleMu6er1p5,0.0,0.0,0.0,0.0,0.0
33,39.0,L1_DoubleMu0_OQ,0.0,0.0,0.0,0.0,0.0
36,42.0,L1_DoubleMu0_SQ_OS,0.0,0.0,0.0,0.0,0.0
37,43.0,L1_DoubleMu0_Mass_Min1,0.0,0.0,0.0,0.0,0.0
40,46.0,L1_DoubleMu_12_5,0.0,0.0,0.0,0.0,0.0
41,47.0,L1_DoubleMu_15_5_SQ,1.0,899.71,340.06,128.53,235.04
44,50.0,L1_DoubleMu_15_7_Mass_Min1,0.0,0.0,0.0,0.0,0.0
45,51.0,L1_DoubleMu18er2p1,1.0,0.0,0.0,0.0,0.0
46,53.0,L1_DoubleMu0er2p0_SQ_dR_Max1p4,0.0,0.0,0.0,0.0,0.0
47,54.0,L1_DoubleMu0er2p0_SQ_OS_dR_Max1p4,0.0,0.0,0.0,0.0,0.0
54,61.0,L1_DoubleMu4_SQ_OS_dR_Max1p2,1.0,3855.88,703.98,899.71,1749.91
58,65.0,L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7,1.0,2056.47,514.12,385.59,1089.44
60,71.0,L1_TripleMu0_OQ,0.0,0.0,0.0,0.0,0.0
65,76.0,L1_TripleMu_5SQ_3SQ_0OQ,35.0,128.53,128.53,128.53,128.53
67,78.0,L1_TripleMu_5_3_3,1.0,1670.88,463.42,385.59,682.63
70,82.0,L1_TripleMu_5_3p5_2p5_OQ_DoubleMu_5_2p5_OQ_OS_Mass_5to17,0.0,0.0,0.0,0.0,0.0
73,85.0,L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9,1.0,771.18,314.83,128.53,239.21
74,86.0,L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9,1.0,257.06,181.77,0.0,53.55
75,88.0,L1_QuadMu0_OQ,0.0,0.0,0.0,0.0,0.0
78,96.0,L1_Mu5_EG23er2p5,0.0,0.0,0.0,0.0,0.0
79,97.0,L1_Mu7_EG20er2p5,1.0,1799.41,480.91,0.0,435.51
81,99.0,L1_Mu20_EG10er2p5,1.0,1285.29,406.45,128.53,424.62
82,100.0,L1_Mu5_LooseIsoEG20er2p5,0.0,0.0,0.0,0.0,0.0
85,104.0,L1_Mu6_DoubleEG10er2p5,0.0,0.0,0.0,0.0,0.0
86,105.0,L1_Mu6_DoubleEG12er2p5,1.0,1028.24,363.54,514.12,703.85
87,106.0,L1_Mu6_DoubleEG15er2p5,1.0,257.06,181.77,0.0,82.63
88,107.0,L1_Mu6_DoubleEG17er2p5,1.0,0.0,0.0,0.0,0.0
89,109.0,L1_DoubleMu4_SQ_EG9er2p5,0.0,0.0,0.0,0.0,0.0
91,112.0,L1_DoubleMu3_OS_DoubleEG7p5Upsilon,1.0,385.59,222.62,128.53,176.13
92,113.0,L1_DoubleMu5Upsilon_OS_DoubleEG3,1.0,128.53,128.53,0.0,18.36
93,119.0,L1_Mu3_Jet30er2p5,11000.0,0.0,0.0,0.0,0.0
94,121.0,L1_Mu3_Jet16er2p5_dR_Max0p4,400.0,257.06,181.77,128.53,192.79
95,122.0,L1_Mu3_Jet35er2p5_dR_Max0p4,256.0,0.0,0.0,0.0,0.0
96,123.0,L1_Mu3_Jet60er2p5_dR_Max0p4,52.0,128.53,128.53,0.0,64.26
97,124.0,L1_Mu3_Jet80er2p5_dR_Max0p4,13.0,128.53,128.53,0.0,25.71
98,125.0,L1_Mu3_Jet120er2p5_dR_Max0p8,3.0,257.06,181.77,0.0,47.13
100,128.0,L1_Mu3er1p5_Jet100er2p5_ETMHF40,1.0,2313.53,545.3,128.53,641.54
101,129.0,L1_Mu3er1p5_Jet100er2p5_ETMHF50,1.0,1927.94,497.79,0.0,473.74
102,131.0,L1_Mu6_HTT240er,1.0,1542.36,445.24,128.53,288.25
103,132.0,L1_Mu6_HTT250er,1.0,1285.29,406.45,0.0,127.59
104,134.0,L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6,0.0,0.0,0.0,0.0,0.0
105,135.0,L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,1.0,2056.47,514.12,0.0,614.56
106,136.0,L1_Mu12er2p3_Jet40er2p1_dR_Max0p4_DoubleJet40er2p1_dEta_Max1p6,1.0,2056.47,514.12,0.0,614.56
107,142.0,L1_DoubleMu0_dR_Max1p6_Jet90er2p5_dR_Max0p8,1.0,257.06,181.77,0.0,11.9
109,145.0,L1_DoubleMu3_SQ_ETMHF50_HTT60er,0.0,0.0,0.0,0.0,0.0
110,146.0,L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5,1.0,642.65,287.4,385.59,395.15
111,147.0,L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5,1.0,257.06,181.77,0.0,9.56
112,148.0,L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5,1.0,257.06,181.77,0.0,9.56
113,150.0,L1_DoubleMu3_SQ_HTT220er,1.0,899.71,340.06,128.53,210.69
114,151.0,L1_DoubleMu3_SQ_HTT240er,1.0,642.65,287.4,0.0,79.02
115,152.0,L1_DoubleMu3_SQ_HTT260er,1.0,385.59,222.62,0.0,32.61
116,159.0,L1_SingleEG8er2p5,44000.0,0.0,0.0,0.0,0.0
120,163.0,L1_SingleEG28_FWD2p5,45.0,0.0,0.0,0.0,0.0
130,173.0,L1_SingleEG50,0.0,0.0,0.0,0.0,0.0
132,175.0,L1_SingleLooseIsoEG26er2p5,0.0,0.0,0.0,0.0,0.0
134,177.0,L1_SingleLooseIsoEG28_FWD2p5,0.0,0.0,0.0,0.0,0.0
140,183.0,L1_SingleIsoEG24er2p1,0.0,0.0,0.0,0.0,0.0
142,185.0,L1_SingleIsoEG26er2p5,0.0,0.0,0.0,0.0,0.0
145,188.0,L1_SingleIsoEG28_FWD2p5,0.0,0.0,0.0,0.0,0.0
154,197.0,L1_IsoEG32er2p5_Mt40,1.0,14652.32,1372.32,0.0,787.91
155,198.0,L1_IsoEG32er2p5_Mt44,1.0,14009.68,1341.88,0.0,727.9
156,199.0,L1_IsoEG32er2p5_Mt48,1.0,12852.95,1285.29,0.0,652.22
157,205.0,L1_DoubleEG_15_10_er2p5,0.0,0.0,0.0,0.0,0.0
165,214.0,L1_DoubleEG_LooseIso22_12_er2p5,1.0,5269.71,822.99,642.65,1336.84
